community_name,community_address,community_rent,community_rooms,community_description,apartment_no,no_of_bedrooms,no_of_bathrooms,area,floor_no,availability,deposit,Max_rent,Min_rent,amenities,community_amenities
Brookridge,"100 Brookridge TrailNashville, TN 37211","$1,062",2 Bedrooms,"Surrounded by beautiful landscaping, Brookridge offers stylish living close to downtown Nashville.",167,1,1.0,804,3,True,250.0,1062.0,1062.0,"['Espresso on sand finish package', 'Carpet flooring', 'Smart home package', 'Black appliances', 'Dishwasher', 'Central A/C and heat', 'Espresso cabinetry', 'Sand countertops']","['24-hour fitness center', 'Commuter friendly', 'Dog park', 'Outdoor kitchen', 'Pet friendly', 'Playground', 'Public transportation access', 'Swimming pool and sundeck']"
Windemere at Sycamore Highlands,"5925 Sycamore Canyon BlvdRiverside, CA 92507","$1,987",2 Bedrooms,"Surrounded by mountains and lush landscaping, our stylish apartments in Riverside are the home you've been looking for.",045,1,1.0,714,2,True,425.0,2112.0,2112.0,"['Patio/ balcony', 'Grey on white finish package', 'White quartz countertops', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Walk-in closet', 'Ceiling fan(s)', 'Grey cabinetry']","['24-hour package lockers', 'Airbnb-friendly', 'Carports and garages', 'Courtesy patrol', 'Dog park', 'Easy access to fitness trail', '24-hour fitness center', 'Grilling area', 'Pet friendly', 'Spa', 'Sundeck', 'Swimming pool', 'Wi-Fi (in common areas)']"
Breckenridge,"1600 Nesbitt LaneMadison, TN 37115","$1,015",2 Bedrooms,"Located on the outskirts of downtown Nashville, Breckenridge offers stunningly spacious apartment homes in North Madison.",1462,1,1.0,800,1,True,250.0,1239.0,1239.0,"['Cherry on coffee finish package', 'Wooded view', 'Patio/balcony', 'Black appliances', 'Wood plank flooring', 'Fireplace', 'Smart home package', 'Walk-in closet', 'Washer and dryer', 'Pantry', 'Cherry cabinetry', 'Coffee countertops']","['Clubhouse', 'Covered parking', 'Fitness center', 'Free weights', 'Grilling area', 'On-site laundry', 'On-site maintenance', 'Patio storage', 'Pet friendly', 'Picnic area', 'Sauna', 'Sundeck', 'Swimming pool', 'Tennis court and Pickleball']"
Hickory Run,"1080 W. Main StreetHendersonville, TN 37075","$1,160",2 Bedrooms,Our upscale apartments in Hendersonville offer the perfect combination of suburban convenience and comfort.,1017,2,2.0,1170,1,True,250.0,1365.0,1365.0,"['Cherry on coffee finish package', 'Patio/balcony', 'Washer and dryer', 'Smart home package', 'Black appliances', 'Carpet flooring', 'Fireplace', 'Walk-in closet', 'Stand-alone shower', 'Cherry cabinetry', 'Coffee countertops']","['Airbnb-friendly', 'Car wash', 'Conference room', 'Detached garages available', 'Dog park with agility equipment', 'Dog wash', 'Fitness center', 'On-site laundry', 'On-site maintenance', 'On-site storage', 'Outdoor picnic area', 'Outdoor kitchen', 'Pet friendly', 'Playground', 'Racquetball court', 'Reserved parking available', 'Sundeck', 'Swimming pool']"
13th & Market,"1330 Market St.San Diego, CA 92101","$2,484",2 Bedrooms,"Designed to inspire and invigorate, our new luxury community in San Diego's East Village features a rich array of amenities.",525,1,1.0,696,5,True,550.0,2625.0,2625.0,"['Patio/ balcony', 'Espresso finish package', 'Espresso cabinetry', 'White granite countertops', 'Stainless steel appliances', 'Smart home package', 'Washer and dryer', 'High ceilings', 'Walk-in closet', 'Closet built-ins', 'Tile backsplash', 'Wood plank flooring', 'Tile flooring in bathroom', 'Soaking tub', 'USB outlet', 'Handicap accessible']","['24-hour fitness center', '24-hour package lockers', 'Bike storage', 'Catering kitchen', 'Conference room', 'Clubhouse', 'Electric vehicle charging stations', 'Elevator', 'Fire pit area', 'Grilling area', 'LEED Certified Silver', 'On-site retail', 'Pet friendly', 'Pet retreat', 'Sky deck', 'Swimming pool', 'Underground controlled access parking garage']"
Rosebeach,"16124 Rosecrans AvenueLa Mirada, CA 90638","$2,175",2 Bedrooms,"Situated between Los Angeles and Ocean County, our lovely Rosebeach apartments in La Mirada are an ideal retreat.",H06,1,1.0,765,1,True,500.0,2175.0,2175.0,"['Updated interior', 'Grey on cream finish package', 'Smart Home + GiGstreem Internet', 'Grey wood plank flooring', 'Cream Countertops', 'Grey cabinetry', 'Stainless steel appliances', 'Courtyard view', 'Large closet', 'Patio/ balcony', 'Soaking tub']","['Covered parking', 'Dog park', 'Fitness center', 'Garages', 'On-site laundry', 'On-site maintenance', 'Pet friendly', 'Picnic areas', 'Swimming pool']"
Tualatin Heights,"9301 SW Sagert StTualatin, OR 97062","$1,664",3 Bedrooms,"Tucked away into a southwest Portland suburban neighborhood, Tualatin Heights offers stylish apartment living.",054,2,2.0,986,2,True,400.0,1664.0,1664.0,"['Maple on black finish package', 'Black appliances', 'Breakfast bar', 'Smart home package', 'Washer and dryer', 'Dishwasher', 'Maple Cabinetry']","['24-hour fitness center', '30-day lease guarantee', 'Basketball court', 'Car wash station', 'Detached garages', 'Dog park', 'On-site maintenance', 'On-site storage', 'Spa', 'Swimming pool', 'Tot lot']"
Missions at Back Bay,"1330 Bristol StreetCosta Mesa, CA 92626","$2,299",2 Bedrooms,Our garden-style apartment homes in Costa Mesa offer a quiet place to relax and recharge.,83,1,1.0,754,2,True,450.0,2299.0,2299.0,"['Courtyard view', 'Updated interior', 'Grey on sand finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Wood plank flooring', 'Walk-in closet', 'Custom closet', 'Pantry', 'Ceiling fan', 'Grey Cabinetry', 'Sand countertops']","['Carports', 'Controlled-access building', 'Grilling area', 'On-site laundry', 'On-site maintenance', 'Pet friendly', 'Swimming pool']"
Huntington Vista,"21551 Brookhurst StreetHuntington Beach, CA 92646","$2,124",3 Bedrooms,"With a prime location in Huntington Beach, our apartments are a charming, convenient place to call home.",0109,2,2.0,1125,2,True,550.0,2724.0,2724.0,"['Updated interior', 'Grey on sand finish package', 'Smart Home + GiGstreem Internet', 'Patio/ balcony', 'Pool view', 'Vaulted ceiling', 'Stainless steel appliances', 'Wood plank flooring', 'Large closet', 'Pantry', 'Gas stove', 'Ceiling fan', 'Corner location', 'Grey cabinetry', 'Sand laminate countertops']","['24-hour fitness center', 'Business center', 'Dog park', 'On-site laundry', 'On-site storage', '24-hour package lockers ', 'Pet friendly', 'Spas (2)', 'Swimming pools (2)']"
Harbor at Mesa Verde,"2700 Peterson PlaceCosta Mesa, CA 92626","$1,921",3 Bedrooms,"Enjoy easy, garden-style living only a few miles from the Pacific at our stylish apartments in Costa Mesa.",005D,1,1.0,600,1,True,450.0,2329.0,2329.0,"['Updated interior', 'Grey on white finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Wood plank flooring', 'Enclosed patio', 'Gas and electric included', 'Gas stove', 'Ceiling fan', 'Corner apartment']","['24-hour online service center', '24-hour package lockers', 'Assigned parking', 'Carports', 'Courtesy patrol', 'Dog park', 'Fitness center', 'Garages', 'On-site laundry', 'Pet friendly', 'Swimming pools', 'Spa']"
The Residences on Jamboree,"2801 Kelvin AvenueIrvine, CA 92614","$2,482",3 Bedrooms,"With countless amenities and access to Irvine’s prestigious Business District, our apartments offer the perfect balance between life and work.",184,1,1.0,687,1,True,600.0,2815.0,2815.0,"['Charcoal finish package', 'Patio/ balcony', 'Smart home package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Tile backsplash', 'Washer and dryer', 'Tile floors in kitchen/ bathroom', 'Stand-alone shower', 'Charcoal Cabinetry']","['2-story fitness center', '24-hour package lockers', 'Bike storage', 'Conference room', 'Controlled-access parking garage', 'Dog park', 'Dry cleaning lockers', 'Electric vehicle charging stations', 'Elevator', 'Entertainment lounge', 'Grilling area', 'Motorcycle parking', 'NGBS Certified Silver', 'Non-smoking community', 'On-site storage', 'Pet wash station', 'Playground', 'Putting green', 'Resort-style pool', 'Rooftop sky deck']"
Los Alisos at Mission Viejo,"28601 Los Alisos Blvd.Mission Viejo, CA 92692","$2,312",3 Bedrooms,Our luxury apartments offer remarkable amenities and stylish features in the prestigious neighborhood of Mission Viejo.,2017,1,1.0,637,2,True,600.0,2479.0,2479.0,"['Courtyard view', 'Espresso on grey finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Pantry', 'Washer and dryer', 'Dual vanity', 'Granite countertops', 'Tile backsplash', 'Patio/ balcony', 'Storage on patio', 'Walk-in closet', 'White oak wood plank flooring', '9 ft. ceiling', 'Handicap accessible', 'Espresso Cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Business center', 'Club room', 'Controlled-access building', 'Controlled access parking structure', 'Electric vehicle charging stations', 'Elevator', 'Entertainment rooms', 'LEED Certified Silver', 'On-site storage', 'Outdoor lounge', 'Pet friendly', 'Private conference rooms', 'Spa', 'Spin and yoga room', 'Swimming pools', 'Wi-Fi (in common areas)']"
Beach & Ocean,"19891 Beach BoulevardHuntington Beach, CA 92648","$2,483",2 Bedrooms,"When the surf or serious fun calls, you're just minutes away when you live in our luxurious Huntington Beach apartments.",123,1,1.0,654,1,True,600.0,2566.0,2566.0,"['Smart Home + GiGstreem Internet', 'Espresso cabinetry', 'White quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Patio/ balcony', 'Washer and dryer', 'Pantry', 'Tile backsplash', 'Walk-in closet', 'Stand-alone shower', 'Keyless entry', 'Tile floors in bathroom']","['24-hour fitness center', '24-hour package lockers', 'Clubroom', 'Conference room', 'Courtyard', 'Electric vehicle charging stations', 'Elevator', 'Grilling area', 'Heated pool', 'NGBS Certified Silver', 'Non-smoking community', 'Outdoor entertainment and billiards', 'Pet friendly', 'Reserved parking garage', 'Skydeck lounge with bar and full kitchen', 'Spa']"
Lotus Landing,"595 Lotus Landing BoulevardAltamonte Springs, FL 32714","$1,182",3 Bedrooms,"Surrounded by nature, our stylish apartments in Altamonte Springs are centered around a pool area with adjacent tennis courts.",01-201,1,1.0,602,2,True,400.0,1216.0,1216.0,"['Maple on black finish package', 'Pool view', 'Black appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Fireplace', 'Screened patio/ balcony', 'Patio storage', 'Ceiling fan', 'Vaulted ceilings', 'Central A/C and heat', 'Maple cabinetry', 'Black countertops']","['24-hour maintenance', '2-level fitness center', 'Airbnb-friendly', 'Car care area', 'Lighted tennis courts (2)', 'Outdoor grilling area', '24/7 package lockers ', 'Pet friendly', 'Split-level pool', 'Sundeck']"
27 Seventy Five Mesa Verde,"2775 Mesa Verde Drive EastCosta Mesa, CA 92626","$2,092",3 Bedrooms,"Our luxury apartments in Costa Mesa offer an active, engaged community with beautiful surroundings and fantastic amenities.",58G,1,1.0,815,1,True,575.0,2675.0,2675.0,"['Updated interior', 'Grey cabinetry', 'Water view', 'Golf Course view', 'Stainless steel appliances', 'Smart Home + GiGstreem Internet', 'Wood plank flooring', 'Washer and dryer', 'Patio/balcony', 'Fireplace', 'Pantry']","['24-hour fitness center', '24-hour package lockers', 'Conference rooms', 'Dog parks', 'EV Charging Solutions', 'Great room with fireplace', 'Grilling areas', 'Lighted sports courts', 'Natural water features', 'Non-smoking community', 'Parc café resident lounge', 'Pet friendly', 'Poolside cabanas', 'Resident lounges', 'Rooftop lounge', 'Swimming Pools (5)', 'Two clubhouses', 'Wi-Fi (in common areas)']"
Eight 80 Newport Beach,"880 Irvine AvenueNewport Beach, CA 92663","$1,977",2 Bedrooms,"Near sandy white beaches, our stylish apartments offer heated pools, fitness centers, and more, in desirable Newport Beach.",C106,0,1.0,406,1,True,525.0,2070.0,2070.0,"['Premium interior', 'Teak on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Premium bathroom finishes', '2"" wood style blinds', 'Wood plank flooring', 'Smart home package', 'Patio/balcony', 'Ceiling fan', 'Glass top stove', 'Tile backsplash', 'Undermount sinks', 'Screen door', 'Teak/white cabinets']","['24-hour package lockers', 'Basketball courts', 'BBQ areas', 'Co-working lounge', 'Courtesy patrol', 'Courtyard open spaces', 'Covered parking', 'Dog park', 'Elevator', 'Firepits', '2 Fitness centers', 'Outdoor fitness space with TRX equipment', 'Outdoor terrace', 'Outdoor showers', 'Pickleball courts', 'Poolside cabanas', '2 Resort style pools', 'Resident lounge', 'Soccer courts', 'Spas', 'Tennis courts', 'Wi-Fi (in common areas)']"
Los Altos at Altamonte Springs,"311 Los Altos WayAltamonte Springs, FL 32714","$1,234",3 Bedrooms,"Located in West Altamonte Springs, our apartments are Orlando at its best: good schools, fun times, and an easy commute.",322L11,1,1.0,805,1,True,400.0,1384.0,1384.0,"['Updated interior', 'White on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Black appliances', 'Pantry', 'Breakfast bar', 'Wood plank flooring', 'Washer and dryer', 'Screened- in patio/ balcony', 'Screen door', 'Walk-in closet', 'White cabinetry']","['Airbnb-friendly', 'Pool house', 'Dog park with agility equipment', 'Fitness center', 'Grilling area', 'Lighted tennis court', 'Limited access gates', 'Pet friendly', 'Playground', 'Resident events', 'Two swimming pools']"
Verano at Rancho Cucamonga Town Square,"8200 Haven AvenueRancho Cucamonga, CA 91730","$2,039",3 Bedrooms,"Located in Rancho Cucamonga, our Tuscan-style luxury apartments are surrounded by the San Gabriel Mountains.",10304,3,2.0,1238,3,True,650.0,3099.0,3099.0,"['Updated interior', 'Grey on white finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Wood plank flooring', 'Patio/balcony', 'Walk-in closet', 'Washer and dryer', 'High ceilings', 'Soaking tub', 'Grey cabinetry', 'White countertops']","['24-hour fitness center - Recently upgraded!', '24-hour package lockers', 'Club room', 'Conference rooms', 'Dog park', 'Grilling area', 'Indoor/ outdoor fitness center with TRX equipment', 'Olympic-size swimming pool', 'On-site retail', 'On-site storage', 'Pet friendly', 'Spa', 'Tot lot', 'Walking trail']"
Altamira Place Apartment Homes,"700 Altamira CircleAltamonte Springs, FL 32701","$1,293",2 Bedrooms,"Minutes from shopping, dining, and entertainment centers, our stylish apartments offer resort-style living near Orlando.",103,1,1.0,570,1,True,400.0,1363.0,1363.0,"['Maple on black finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Wood plank flooring', 'Tile floors', 'Washer and dryer', 'Breakfast bar', 'Ceiling fan in every room', 'Walk-in closet', 'California Closets', 'Maple cabinetry', 'Black countertops']","['Car care center', 'Dog park with agility equipment', 'Fitness center', 'Limited access gates', 'On-site maintenance', 'On-site storage', 'Outdoor kitchen', 'Pet friendly', 'Sundeck', 'Tennis court', 'Waterfront pool']"
The Residences at Pacific City,"21040 Pacific City Cir. Suite 100Huntington Beach, CA 92648","$3,997",3 Bedrooms,"Huntington Beach’s newest collection of apartment homes is nestled amid smart boutiques and a thriving restaurant scene, just steps from the sand.",1407,2,2.0,1266,4,True,825.0,6193.0,6193.0,"['Costal cedar on white finish package', 'Courtyard view', 'Balcony', 'Bosch stainless steel appliances', 'White quartz countertops', 'Walnut hardwood flooring', 'Washer and dryer', 'Tile backsplash', 'Exclusive rooftop amenity access', 'Walk-in closet with built-ins', 'Tile floors in bathroom', 'Keyless entry', 'Soaking tub', 'Dual vanity', 'Oversized windows', 'Costal cedar cabinetry']","['4800 sq. ft fitness center', 'Bike storage', 'Billiards', 'Clubhouse with 156"" TV', 'Concierge services', 'Controlled access parking garage', 'Electric vehicle charging stations', 'Elevator', 'LEED Certified Silver', 'Non-smoking community', 'Outdoor courtyards', 'Outdoor showers', 'Outdoor theater with 201"" LED TV', 'Package lockers', 'Parking for fuel-efficient vehicles', 'Pet friendly', 'Poolside cabanas', 'Private beach storage lockers', 'Private conference rooms', 'Private dining room', 'Resident events', 'Rooftop sky deck', 'Screening room', 'Spas', 'Swimming pool', 'Two-acre park', 'Wi-fi Lounge', 'Yoga and movement studio']"
The Residences at Bella Terra,"7521 Edinger AvenueHuntington Beach, CA 92647","$2,260",3 Bedrooms,"Our luxury apartments in Huntington Beach—aka “Surf City, USA”—offer a fabulous home base in the Orange County area.",2406,1,1.0,719,2,True,625.0,2854.0,2854.0,"['Updated interior', 'Espresso on white finish package', 'Smart Home + GiGstreem Internet', 'Cabana view', 'Courtyard view', 'Granite countertops', 'Stainless steel appliances', 'Natural wood plank flooring', 'Patio/balcony', 'Washer and dryer', 'Walk-in closet', 'Pantry', 'Corner location', 'Tile backsplash', 'Built-in desk', 'Keyless entry', 'Espresso Cabinetry']","['24-hour package lockers', 'Access to adjoining retail and dining', 'Clubhouse', 'Conference room', 'Controlled-access building', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Grilling area', 'Multi-level controlled access parking garage', 'On-site storage', 'Pet friendly', 'Salt-water pool', 'Spa', 'The Boardroom, business center', 'Wi-Fi (in common areas)', 'Wifi Lounge', 'Yoga and spin studio']"
Regatta Shores,"2335 W. Seminole BoulevardSanford, FL 32771","$1,263",2 Bedrooms,Our stylish apartments in North Sanford are just a short drive from Orlando's magic and charm.,1034,1,1.0,750,3,True,400.0,1263.0,1263.0,"['Honey maple finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Carpet flooring', 'Vaulted ceilings', 'Fireplace', 'Patio/ balcony', 'Large closet', 'Honey maple cabinetry']","['24-hour fitness center', 'Business center', 'Clubhouse', 'Dog park with agility equipment', 'Dog wash station', 'Gas and charcoal grills', 'On-site maintenance', 'Outdoor kitchen', 'Package lockers ', 'Pet friendly', 'Playground', 'Resident events', 'Screened-in pool', 'Spa', 'Sundeck']"
Arbors at Lee Vista,"5900 Bent Pine DriveOrlando, FL 32822","$1,451",3 Bedrooms,"Although it feels a world away, our garden-style community in Lee Vista is only three miles from the Orlando International Airport.",7-453,1,1.0,534,2,True,400.0,1474.0,1474.0,"['Updated interior', 'White on granite finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Washer and dryer', 'Walk-in closet', 'Cherry cabinetry']","['24-hour package lockers', 'Business center', 'Car care center', 'Clubhouse', 'Courtesy patrol', 'Fitness center', 'Dog park', 'Fire pit with seating', 'Garages available', 'Grilling area', 'Landscaped courtyards', 'Lagoon-style swimming pool', 'Limited access gates', 'On-site maintenance', 'Pet friendly', 'Reserved parking', 'Screened Lanai', 'Tennis court', 'Two lane lap pool']"
Alafaya Woods,"407 Alafaya Woods BoulevardOviedo, FL 32765","$1,474",3 Bedrooms,"Your new Alafaya Woods home awaits in beautiful Oviedo: metro Orlando's ""city with a small town feel.""",401B,2,2.0,1100,1,True,400.0,1706.0,1706.0,"['Walnut on black finish package', 'Black appliances', 'Smart Home + GiGstreem Internet', 'Wood plank flooring', 'Washer and dryer', 'Black countertops', 'Walnut cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Business center', 'Clubhouse', 'Community rentable space', 'Dog park', 'Pet friendly', 'Playground', 'Swimming pools (3)', 'Tennis court']"
Seville on the Green,"300 Sheoah BoulevardWinter Springs, FL 32708","$1,361",3 Bedrooms,"Nestled in the charming community of Winter Spring, our stylish apartments overlook beautiful wooded and lake views.",907,1,1.0,874,1,True,400.0,1361.0,1361.0,"['Wooded view', 'Maple on grey finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Patio/ balcony', 'Breakfast bar', 'Pantry', 'Wood burning fireplace', 'Grey countertops', 'Maple cabinetry']","['24 hour fitness center', 'Business center', 'Clubhouse', 'Dog wash', 'Outdoor lounge area', 'Outdoor kitchen', 'Pet friendly', 'Resident lounge', 'Spacious dog park with agility equipment', 'Swimming pool', 'Sundeck']"
